sentences	score
 Awareness  is the experience of that consciousness being awakened . The individual aspect of the ALL becomes aware of Itself .	1
" Beingness  is a state in which you place yourself , it is not a response . "" Feeling "" is a response , but "" being "" is not ."	1
" Feeling good  is your way of telling yourself that your last thought was truth , your last action was love ."	0
" Nothing ventured , nothing gained  is not just a nifty old-time saying . It's wisdom . Listen to it ."	0
" Your life is not about you  - That little statement changed my life . It turned everything upside down . Or more accurately , right side up ."	0
“ Now ” is simply overwhelmed by “ Then . ” Today becomes deeply mired in Yesterday .	0
"A commitment to meditation is a commitment to your soul , to be with your soul , meet your soul , listen to your soul ."	1
"A conversation is not a "" conversation "" if it's a monologue . Voices that differ are voices that enlarge the scope of every conversation ."	0
"A genius is not one who creates an answer , but who discovers that the answer has always been there ."	1
"A good cry can be wonderful sometimes , and sadness is nothing more than love announced ."	0
"A knowledge and an experience of your real self , of who you really are . Go after that , and all the rest will follow ."	0
"A lack of understanding is your own creation ; it is , literally , a figment of your imagination ."	1
A life lived by choice is a life of conscious action . A life lived by chance is a life of unconscious reaction .	0
A little more willingness to acknowledge that there may be something you do not know could change everything .	0
A negative attitude will send you down the road to unhappiness . A positive attitude will put you back on The Path to inner peace & happiness .	0
A negative attitude will send you down the road to unhappiness . There is no avoiding it .	0
A positive attitude will put you back on The Path to inner peace and happiness . There is no avoiding it .	0
"A smile actually changes the vibe of your body . It alters , physiologically , the chemistry of your being ."	1
Affirmations work only when they are statements of something you already know to be true .	1
"All change is for the better . The mind reject such notions , but the soul shouts them to high heaven ."	0
All conditions are temporary . Nothing stays the same . Which way a thing changes depends on you .	0
All conflict arises from misplaced desire . The only peace in all the world that is sustaining is Internal Peace .	0
"All learning is remembering . All teaching is reminding . All lessons are memories , recaptured ."	0
"All of life is a gift . When you understand this , you will remain in a state of continual appreciation ."	0
All of life is a process of creation - creating ourselves anew in the next grandest version ever we had about ourselves .	0
"All of life is deciding . You are deciding , with every truth you embrace , every thought you birth , Who You Are ."	0
"All of life is Divine , and when we treat all of life as Divine we change everything ."	0
"All of life is spiritual , and therefore all of life's problems are spiritually based , and spiritually solved ."	1
"All systems which reduce , restrict , or eliminate freedom in any way are systems which work against life itself ."	1
All things are living . There is no such thing as a Dead Thing .	0
"All things are One Thing , and there is nothing else . "" We Are All One "" is a precise description of the nature of Ultimate Reality ."	0
"All things lead us to our innermost truth . That is their purpose . Life is truth , revealing Itself to Itself ."	0
"All things that have ever happened , are happening Now , and ever will happen , are occurring in this moment ."	0
